Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
NGC2841,50,1,76.0,323.0,67.30,155.524,0.00,40.40,50.996,0.04,5.94,1.709,0.68,0.755,8.37,1.818,0.52,0.876,130.51,15.51,9.166e+12,6.66,-23.5,+8.5
ESO563-G021,30,1,83.0,321.0,46.06,45.167,0.00,51.88,40.813,0.13,25.83,23.006,0.43,0.533,23.86,18.518,0.50,0.718,117.98,19.15,3.295e+13,5.85,-15.5,+20.0
NGC5985,33,1,60.0,305.0,78.27,207.010,0.00,38.68,40.404,0.09,15.45,10.518,0.27,1.550,14.43,8.804,0.33,1.405,136.50,14.28,1.193e+13,6.49,-21.1,+3.4
NGC6674,15,1,54.0,291.0,31.07,68.608,0.07,85.03,1372.483,0.07,12.17,8.102,0.20,0.670,13.35,9.666,0.13,0.754,119.20,16.26,1.280e+13,6.44,-8.3,+46.6
NGC2955,24,1,56.0,276.0,34.17,30.340,0.00,74.46,58.464,0.00,17.79,7.087,0.29,0.446,13.32,4.614,0.38,0.465,42.65,19.91,3.522e+13,5.81,+9.8,+35.1
NGC3992,9,1,56.0,272.0,45.37,49.500,0.00,72.77,127.935,0.11,13.47,5.112,0.22,1.006,5.24,0.733,0.78,0.810,105.26,12.86,1.475e+13,6.35,-11.7,+41.6
NGC5005,18,1,68.0,265.0,27.35,3.505,0.50,17.48,1.262,0.78,10.34,0.111,0.94,0.243,6.17,0.124,1.00,0.403,32.14,13.00,8.054e+12,6.75,+5.5,+5.0
NGC6195,23,1,62.0,258.0,42.78,50.805,0.00,106.55,296.731,0.00,9.14,3.653,0.61,0.399,10.23,3.727,0.48,0.436,32.47,20.39,5.901e+13,5.52,+17.4,+54.3
NGC7331,36,1,75.0,257.0,26.94,29.254,0.06,82.07,477.939,0.00,7.36,1.617,0.53,0.296,4.28,0.776,0.67,0.355,59.35,13.93,1.899e+13,6.19,+0.9,+41.6
IC4202,32,1,90.0,250.0,27.68,42.880,0.47,38.26,54.564,0.12,23.09,25.215,0.28,0.170,25.28,34.727,0.34,0.352,69.12,14.57,8.171e+12,6.74,-1.2,+15.2
NGC5371,19,1,53.0,242.0,40.54,148.112,0.00,138.91,1602.807,0.00,16.50,12.114,0.11,0.556,15.46,10.197,0.16,0.526,45.31,18.34,4.142e+13,5.72,+22.1,+86.2
NGC0891,18,1,90.0,234.0,39.94,69.083,0.06,38.07,83.479,0.06,20.71,6.770,0.22,0.242,14.94,6.117,0.17,0.352,42.49,11.63,4.257e+12,7.20,+6.4,+13.1
NGC3953,8,1,62.0,224.0,15.83,5.154,0.62,19.63,8.045,0.38,4.14,0.567,1.00,0.792,3.62,0.464,0.88,0.699,49.90,10.11,4.484e+12,7.16,+1.3,+12.1
NGC3521,41,1,75.0,220.0,12.82,1.630,0.61,5.82,0.466,0.80,7.91,0.546,0.85,0.381,5.13,0.295,0.95,0.514,35.21,9.32,1.438e+12,8.03,+3.0,-1.0
NGC2903,34,1,66.0,216.0,28.99,30.252,0.09,24.61,14.715,0.18,17.33,6.393,0.53,0.285,24.19,15.507,0.18,0.492,60.52,9.16,1.346e+12,8.08,-3.1,+2.7
NGC2683,11,2,80.0,212.0,11.33,2.025,0.55,24.58,5.926,0.27,8.04,0.984,0.73,0.598,8.60,1.211,0.45,0.653,63.99,7.68,1.303e+12,8.11,+0.5,+21.9
NGC5055,28,1,55.0,206.0,30.38,512.860,0.00,68.74,1388.858,0.00,4.61,3.772,0.50,0.302,3.19,3.416,0.43,0.384,53.48,13.36,5.451e+12,7.02,+11.2,+48.5
NGC4157,17,1,82.0,201.0,20.87,8.507,0.24,33.36,18.956,0.00,6.16,0.529,0.88,0.320,6.56,0.525,0.82,0.385,52.62,10.66,2.259e+12,7.67,+5.1,+19.9
NGC4013,36,2,89.0,198.0,21.27,14.753,0.25,17.78,11.646,0.06,12.33,3.419,0.44,0.407,6.82,1.420,0.56,0.448,65.69,5.80,1.265e+12,8.13,-15.2,+10.1
NGC4100,24,1,73.0,195.0,15.56,7.665,0.17,12.77,5.587,0.29,7.53,1.468,0.54,0.652,6.72,1.293,0.54,0.730,66.38,7.39,8.165e+11,8.50,-5.2,+1.0
NGC0289,28,2,46.0,194.0,14.97,3.361,0.32,17.98,7.589,0.29,12.82,1.663,0.57,0.623,9.49,1.896,0.57,0.550,72.06,11.90,1.081e+12,8.26,+7.3,+10.4
NGC4217,19,1,86.0,191.0,63.73,85.323,0.00,52.41,55.155,0.00,11.41,2.422,0.37,0.050,15.84,4.621,0.32,0.165,47.86,10.27,1.453e+12,8.02,+14.0,+12.7
NGC4088,12,1,69.0,182.0,41.13,37.689,0.00,47.97,49.891,0.00,6.68,0.738,0.75,0.280,5.47,0.514,0.92,0.294,25.40,10.82,2.339e+12,7.64,+22.7,+31.0
ESO079-G014,15,1,79.0,178.0,14.95,19.001,0.27,13.06,11.594,0.27,13.28,5.879,0.40,0.340,11.09,4.847,0.33,0.223,55.75,7.41,6.895e+11,8.65,-9.9,-6.6
NGC1090,24,1,64.0,176.0,15.44,24.224,0.21,20.01,53.708,0.21,9.26,3.126,0.50,0.460,9.22,2.404,0.58,0.476,53.94,10.36,1.081e+12,8.26,+8.9,+14.6
NGC3949,7,2,55.0,169.0,10.28,2.568,0.43,7.58,0.927,0.86,11.64,1.403,0.57,0.528,3.53,0.273,1.00,0.389,28.52,5.29,5.069e+11,8.92,-0.1,-3.6
NGC4051,7,2,49.0,161.0,21.81,9.817,0.14,30.10,17.318,0.00,6.36,1.185,0.57,0.555,6.04,0.885,0.71,0.490,23.60,8.04,1.809e+12,7.85,+20.0,+26.2
NGC3972,10,1,77.0,134.0,9.04,3.337,0.10,9.80,4.005,0.20,3.23,0.559,0.80,0.523,4.54,1.040,0.90,0.176,44.46,3.92,2.589e+11,9.55,-7.5,-7.9
NGC3769,12,2,70.0,126.0,7.43,1.205,0.83,9.68,1.764,0.50,5.21,0.626,0.83,0.367,4.98,0.711,0.83,0.372,50.36,5.40,3.023e+11,9.40,+2.0,+6.4
